Series 1: ,,Series 2: ,,Series 3: ,,Series 4: ,,Series 5: ,,Series 6: ,,Series 7: ,,Series 8: ,
6.66797265,1.881039387,6.324210288,1.330548701,6.488632297,1.423986136,6.925916857,1.329719904,7.335474392,1.125299026,8.540319087,1.542372243,,,,
6.832545348,2.018553749,6.488632297,1.423986136,6.694117425,1.528386295,7.199928422,1.478102808,7.499858728,1.20771723,8.704835277,1.663357758,,,,
7.038124659,2.150501987,6.694117425,1.528386295,6.85855827,1.627333346,7.36435043,1.571540244,7.664224227,1.284625817,8.896871292,1.833892143,,,,
7.230123001,2.310017141,6.85855827,1.627333346,7.091450206,1.748224679,7.597204694,1.681412345,7.82857089,1.356024789,,,,,,
7.504417111,2.541044284,7.091450206,1.748224679,7.296935335,1.852624838,7.734257567,1.769377837,8.006668048,1.449443388,,,,,,
7.710090603,2.700540602,7.269773399,1.907758669,7.584716231,2.028536985,7.898867939,1.917911432,8.171033547,1.526351975,,,,,,
7.874700974,2.849074196,7.461828251,2.083802671,7.817702349,2.176976398,8.063440637,2.055425794,8.335417883,1.608770178,,,,,,
8.107969636,3.080157848,7.640057262,2.215788581,7.927404924,2.264979563,8.241763831,2.214959785,8.540921848,1.718679953,,,,,,
8.409877752,3.388281942,7.804667634,2.364322176,8.201642525,2.479477858,8.612160711,2.556047392,8.732637646,1.795550867,,,,,,
8.835107084,3.767861516,8.010491816,2.567895421,8.434873514,2.699542278,8.859707284,2.963419917,8.869577502,1.850458664,,,,,,
,,8.243835823,2.821017537,8.846069807,2.974457986,,,,,,,,,,
,,8.710862891,3.426434855,,,,,,,,,,,,
,,8.862513892,3.784352691,,,,,,,,,,,,
