Series 1: ,,Series 2: ,,Series 3: ,,Series 4: ,
68.75026495,-0.722391455,62.9287217,-0.332736612,65.43349689,0.019583999,,
69.58321171,-0.709484838,63.76118398,-0.345430057,66.79610428,0.019758413,,
70.56780153,-0.68375881,64.59364625,-0.358123502,67.55310838,0.019855309,,
71.55299695,-0.626032705,65.42610853,-0.370816947,68.76431495,0.020010344,,
72.38679155,-0.568325979,66.56125132,-0.389871648,69.59677722,0.007316899,,
73.22082839,-0.497819223,67.39395584,-0.389765062,70.42948174,0.007423485,,
74.05462299,-0.440112497,68.37806117,-0.389639097,71.26158065,-0.024470006,,
75.04102962,-0.318386237,69.21052345,-0.402332542,72.32078079,-0.056334429,,
76.17944268,-0.16464052,70.04322796,-0.402225955,73.22870124,-0.081818215,,
77.16681827,0.008285864,70.87569024,-0.4149194,74.06067903,-0.120111722,,
78.00206632,0.142792776,71.70839475,-0.414812814,74.89229346,-0.177605275,,
78.83804109,0.315699781,72.69225785,-0.42748688,75.72378676,-0.241498844,,
79.67413699,0.495006801,73.52411452,-0.472180402,76.85759723,-0.330953716,,
80.81473021,0.763952797,74.50846209,-0.459254405,77.83928016,-0.458828061,,
84.46869818,1.839620505,75.49232519,-0.471928471,78.82156868,-0.554702328,,
86.14331238,2.326234855,76.3250297,-0.471821885,79.65245639,-0.650595974,,
87.28414785,2.607980882,77.23343463,-0.471705609,80.48298073,-0.765689667,,
88.11927478,2.736087779,78.82338549,-0.458702095,81.31386844,-0.861583313,,
89.1038646,2.761813806,79.95925501,-0.439356704,82.14499838,-0.944676929,,
90.462475,2.550787708,80.94360259,-0.426430707,82.97612833,-1.027770544,,
94.66754197,0.746525957,82.00413506,-0.387894959,83.80774276,-1.085264098,,
96.85280085,0.21560567,82.76198701,-0.342997954,84.56426238,-1.110767263,,
97.68344632,0.106911993,83.59578161,-0.285291229,85.39720914,-1.097860646,,
98.51506075,0.049418439,84.42981845,-0.214784472,86.23124598,-1.027353889,,
99.72541947,0.004773365,85.26409754,-0.131477684,87.06576731,-0.93124707,,
,,86.25110977,0.022248653,87.90113648,-0.790340143,,
,,87.08611558,0.143955534,88.73723237,-0.611033123,,
,,87.92148475,0.284862461,89.57393387,-0.399726025,,
,,88.75709616,0.43856942,90.41039312,-0.201218958,,
,,89.59198084,0.553876285,91.39873768,0.02290755,,
,,90.57790299,0.650002483,92.38465983,0.119033748,,
,,91.56200833,0.650128448,93.21821219,0.163940443,,
,,92.39398612,0.611834942,94.35420283,0.189685849,,
,,93.22535831,0.541541357,95.18690734,0.189792436,,
,,94.05612489,0.439247695,96.01961186,0.189899022,,
,,94.88725484,0.35615408,97.30494427,0.106863544,,
,,95.71802142,0.253860418,98.43948146,0.055808765,,
,,96.54951473,0.189966849,99.801241,0.01118307,,
,,97.53228774,0.119692644,,,,
,,98.36390217,0.062199091,,,,
,,99.19587996,0.023905584,,,,
