Series 1: 
-40.850256559184,-8.04471918036186
-40.4681238650014,-7.68842155285218
-39.4756047197084,-7.56837335254136
-38.8638605132692,-6.73742709137277
-37.9472248046812,-6.26176014120862
-37.1061708093919,-5.19331984378613
-34.8144306762187,-3.88557516966979
-33.8977949676307,-3.40990821950565
-32.5231431281551,-2.93356239168515
-31.1481895652731,-2.22006196644582
-30.0791835364623,-1.98132332115068
-26.4139984574391,-1.14585120886842
-21.9851514368634,-0.0720930364113599
-17.7085238748074,1.35717073962067
-13.8912701989677,1.7185599496151
-12.3637954541597,2.31370936869828
-11.0654796364987,2.78994205024732
-9.69158210553908,2.67340138453112
-8.39326628787807,3.14963406608017
-6.40762455047926,3.86403966154636
-4.57480571841286,4.45964166573608
-3.35327850767604,4.58002930488889
-2.51358226771541,4.58127391393703
-1.6735843043484,4.819673120404
-0.90992236279601,5.05795918059261
-0.0503229857261616,5.10534659732642
0.835761092905194,5.93175877728437
1.72114534085787,6.20810404379277
2.60687950414987,6.75948276702195
3.49296358278123,7.58589494697189
4.37869774607324,8.13727367021707
5.43019157550535,8.38751468544259
6.88238633042107,9.81259204920983
8.27634796296532,10.8933802005128
9.87115933836602,12.2709087417392
11.8199844468121,13.648962006895
15.5430772045569,18.3300403723074
22.1042283874332,27.6908852933604
25.4789060575622,36.7719742424877
31.3372785044381,50.2572715665974
35.0694690610059,62.0892198068857

