This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:   711662
Number of nonzeros in inequality constraint Jacobian.:    65550
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    75608
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    75608
                     variables with only upper bounds:        0
Total number of equality constraints.................:    70608
Total number of inequality constraints...............:    28350
        inequality constraints with only lower bounds:    13800
   inequality constraints with lower and upper bounds:      750
        inequality constraints with only upper bounds:    13800

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 8.9232598e+003 5.15e+003 1.00e+002   0.0 0.00e+000    -  0.00e+000 0.00e+000   0
   1 9.4226408e+003 5.11e+003 1.34e+004   2.0 1.73e+003    -  9.23e-004 4.45e-003f  1
   2 9.3045448e+003 5.04e+003 1.28e+004   0.6 1.01e+002    -  3.13e-002 1.30e-002f  1
   3 8.9768763e+003 4.80e+003 1.11e+004   0.6 1.23e+002    -  2.49e-002 4.92e-002f  1
   4 9.0310263e+003 4.71e+003 1.07e+004   1.0 1.72e+002    -  1.11e-001 1.83e-002f  1
   5 9.2174716e+003 4.59e+003 1.31e+004   1.3 2.41e+002    -  4.16e-001 2.40e-002f  1
   6 1.1069783e+004 4.31e+003 7.26e+004   2.0 4.21e+002    -  4.27e-001 5.16e-002f  1
   7 1.1378516e+004 4.04e+003 4.59e+005   2.2 1.21e+002    -  2.13e-001 6.32e-002f  1
   8 1.1850260e+004 3.89e+003 7.16e+005   2.6 1.67e+002    -  6.90e-001 3.59e-002f  1
   9 1.2624914e+004 3.71e+003 3.05e+006   3.3 2.08e+002    -  6.46e-001 4.40e-002f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 1.2927691e+004 3.56e+003 2.02e+007   3.7 9.72e+001    -  1.05e-001 4.11e-002f  1
  11 1.3274981e+004 3.36e+003 8.48e+007   3.7 8.62e+001    -  2.24e-001 5.44e-002f  1
  12 1.3801224e+004 3.07e+003 3.16e+008   3.7 9.40e+001    -  1.38e-001 8.62e-002h  1
  13 1.3993370e+004 2.84e+003 4.46e+008   3.5 8.14e+001    -  1.43e-001 7.22e-002h  1
  14 1.4568140e+004 2.49e+003 6.42e+008   3.7 6.56e+001    -  9.42e-002 1.22e-001h  1
  15 1.4780456e+004 2.24e+003 7.06e+008   3.0 5.04e+001    -  1.57e-001 9.81e-002h  1
  16 1.4890028e+004 2.08e+003 7.52e+008   3.6 1.07e+002    -  1.19e-001 6.91e-002h  1
  17 1.5041860e+004 1.93e+003 7.45e+008   1.4 7.64e+001    -  1.14e-001 7.12e-002h  1
  18 1.5084147e+004 1.82e+003 7.39e+008   3.7 8.55e+001    -  7.21e-002 5.53e-002h  1
  19 1.5195599e+004 1.70e+003 7.32e+008   3.7 7.62e+001    -  9.87e-002 6.79e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 1.5456099e+004 1.56e+003 8.73e+008  -2.5 5.77e+001    -  5.37e-002 8.02e-002h  1
  21 1.5450885e+004 1.49e+003 9.30e+008   3.7 9.83e+001    -  1.24e-001 4.21e-002f  1
  22 1.5564877e+004 1.42e+003 1.01e+009  -2.5 7.48e+001    -  4.64e-002 4.69e-002h  1
  23 1.5895215e+004 1.25e+003 1.21e+009   3.2 1.03e+002    -  5.94e-002 1.19e-001h  1
  24 1.5689731e+004 1.18e+003 1.31e+009   3.7 9.72e+001    -  5.64e-002 5.76e-002f  1
  25 1.5713287e+004 1.16e+003 1.34e+009  -2.5 8.26e+001    -  7.43e-002 1.34e-002h  1
  26 1.5639895e+004 1.11e+003 1.45e+009   3.6 9.50e+001    -  5.97e-002 4.72e-002f  1
  27 1.5327150e+004 9.79e+002 1.79e+009   3.7 1.64e+002    -  8.41e-002 1.11e-001f  1
  28 1.5418172e+004 9.12e+002 1.95e+009  -2.5 8.82e+001    -  9.74e-002 6.57e-002h  1
  29 1.5487077e+004 8.27e+002 2.11e+009   2.8 1.09e+002    -  6.53e-002 8.64e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30 1.5590763e+004 7.67e+002 2.20e+009   2.9 7.56e+001    -  3.49e-002 6.72e-002h  1
  31 1.5580545e+004 7.02e+002 2.23e+009   3.4 8.32e+001    -  7.06e-002 7.52e-002f  1
  32 1.5989610e+004 6.05e+002 2.17e+009   2.4 8.38e+001    -  4.55e-002 1.21e-001h  1
  33 1.6039509e+004 5.95e+002 2.15e+009  -2.6 9.32e+001    -  8.53e-002 1.54e-002h  1
  34 1.6115832e+004 5.67e+002 2.11e+009   3.7 1.61e+002    -  9.78e-002 4.38e-002f  1
  35 1.6308597e+004 5.35e+002 2.05e+009   3.2 1.17e+002    -  4.65e-002 5.10e-002h  1
  36 1.6447501e+004 5.10e+002 2.01e+009   3.7 1.44e+002    -  9.95e-002 4.24e-002f  1
  37 1.6702263e+004 4.79e+002 1.93e+009  -2.5 1.68e+002    -  5.80e-002 5.47e-002h  1
  38 1.7247786e+004 4.12e+002 1.72e+009   2.2 1.25e+002    -  8.01e-002 1.10e-001h  1
  39 1.7365020e+004 3.94e+002 1.65e+009   2.5 1.09e+002    -  4.00e-002 3.84e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 1.7446194e+004 3.37e+002 1.86e+009   3.1 9.37e+001    -  1.22e-001 1.09e-001h  1
  41 1.7544848e+004 3.15e+002 1.99e+009   2.7 8.49e+001    -  8.94e-002 5.57e-002h  1
  42 1.7331286e+004 2.82e+002 2.17e+009   3.5 1.41e+002    -  1.49e-001 8.31e-002f  1
  43 1.7369577e+004 2.54e+002 2.40e+009   3.3 9.91e+001    -  1.14e-001 9.95e-002f  1
  44 1.7546837e+004 2.30e+002 2.61e+009   3.0 7.15e+001    -  1.52e-001 9.27e-002h  1
  45 1.7102353e+004 2.17e+002 2.66e+009   3.5 1.59e+002    -  9.32e-002 5.45e-002f  1
  46 1.7031151e+004 1.85e+002 2.77e+009   3.1 1.00e+002    -  1.41e-001 1.47e-001f  1
  47 1.7316152e+004 1.57e+002 2.88e+009  -2.7 1.03e+002    -  2.19e-002 1.51e-001h  1
  48 1.6659460e+004 1.41e+002 2.95e+009   3.6 1.23e+002    -  8.10e-002 6.93e-002f  1
  49 1.6267548e+004 1.36e+002 2.98e+009   3.3 9.65e+001    -  2.75e-002 3.82e-002f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 1.6236227e+004 1.34e+002 2.98e+009   2.2 9.39e+001    -  2.66e-002 1.45e-002f  1
  51 1.5495873e+004 1.13e+002 2.82e+009   3.1 8.52e+001    -  1.05e-001 1.66e-001f  1
  52 1.4526268e+004 1.88e+002 2.39e+009   3.4 8.83e+001    -  9.36e-002 1.48e-001f  1
  53 1.4528891e+004 1.85e+002 2.35e+009  -2.7 2.99e+001    -  9.36e-002 1.77e-002h  1
  54 1.4529270e+004 1.84e+002 2.34e+009  -2.7 3.51e+001    -  1.68e-002 6.47e-003h  1
  55 1.4604939e+004 1.60e+002 2.06e+009   1.6 5.91e+001    -  3.93e-002 1.41e-001h  1
  56 1.3864267e+004 1.86e+002 1.88e+009   3.7 2.42e+002    -  3.95e-002 4.43e-002f  1
  57 1.3917366e+004 1.65e+002 1.61e+009  -2.7 1.75e+001    -  8.23e-002 1.19e-001h  1
  58 1.4044262e+004 1.29e+002 1.20e+009  -2.8 1.42e+001    -  8.82e-002 2.26e-001h  1
  59 1.4274552e+004 9.11e+001 8.34e+008   1.1 2.11e+001    -  2.74e-001 3.14e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 1.3698197e+004 9.97e+001 6.25e+008   2.9 4.56e+001    -  9.49e-002 2.63e-001f  1
  61 1.3657803e+004 7.12e+001 4.42e+008   2.2 1.33e+001    -  3.30e-001 2.97e-001h  1
  62 1.3330292e+004 5.03e+001 2.24e+008   2.5 1.49e+001    -  2.95e-001 4.97e-001f  1
  63 1.3308094e+004 3.25e+001 1.44e+008   1.8 5.39e+000    -  4.00e-001 3.59e-001h  1
  64 1.3364646e+004 3.03e-001 1.51e+006   0.7 2.81e+000    -  5.76e-001 1.00e+000h  1
  65 1.3350090e+004 1.92e-002 2.37e+005   0.2 5.31e-001    -  7.93e-001 1.00e+000f  1
  66 1.3335962e+004 1.78e-003 2.31e+004  -4.4 4.00e-001    -  9.46e-001 1.00e+000h  1
