This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:   711662
Number of nonzeros in inequality constraint Jacobian.:    65550
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    75608
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    75608
                     variables with only upper bounds:        0
Total number of equality constraints.................:    70608
Total number of inequality constraints...............:    28350
        inequality constraints with only lower bounds:    13800
   inequality constraints with lower and upper bounds:      750
        inequality constraints with only upper bounds:    13800

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 8.8727570e+003 5.15e+003 1.00e+002   0.0 0.00e+000    -  0.00e+000 0.00e+000   0
   1 9.3244051e+003 5.11e+003 1.34e+004   2.0 1.73e+003    -  9.23e-004 4.45e-003f  1
   2 9.2021391e+003 5.04e+003 1.28e+004   0.6 1.01e+002    -  3.13e-002 1.30e-002f  1
   3 8.8562534e+003 4.80e+003 1.11e+004   0.6 1.23e+002    -  2.49e-002 4.92e-002f  1
   4 8.9014270e+003 4.71e+003 1.07e+004   1.0 1.72e+002    -  1.11e-001 1.83e-002f  1
   5 9.0756317e+003 4.59e+003 1.31e+004   1.3 2.41e+002    -  4.16e-001 2.40e-002f  1
   6 1.0890666e+004 4.31e+003 7.26e+004   2.0 4.21e+002    -  4.27e-001 5.16e-002f  1
   7 1.1210853e+004 4.04e+003 4.59e+005   2.2 1.21e+002    -  2.13e-001 6.32e-002f  1
   8 1.1695712e+004 3.89e+003 7.16e+005   2.6 1.67e+002    -  6.91e-001 3.59e-002f  1
   9 1.2477666e+004 3.71e+003 3.06e+006   3.3 2.08e+002    -  6.50e-001 4.40e-002f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 1.2780851e+004 3.56e+003 2.03e+007   3.7 9.69e+001    -  1.05e-001 4.11e-002f  1
  11 1.3135340e+004 3.36e+003 8.58e+007   3.7 8.64e+001    -  2.22e-001 5.47e-002f  1
  12 1.3663430e+004 3.07e+003 3.16e+008   3.7 9.35e+001    -  1.39e-001 8.58e-002h  1
  13 1.3845375e+004 2.85e+003 4.41e+008   3.5 8.06e+001    -  1.42e-001 7.07e-002h  1
  14 1.4437183e+004 2.49e+003 6.36e+008   3.7 6.55e+001    -  1.00e-001 1.23e-001h  1
  15 1.4639832e+004 2.24e+003 7.04e+008   3.1 4.96e+001    -  1.59e-001 9.83e-002h  1
  16 1.4752389e+004 2.08e+003 7.49e+008   3.6 1.09e+002    -  1.18e-001 7.15e-002h  1
  17 1.4895735e+004 1.92e+003 7.43e+008   1.4 7.18e+001    -  1.15e-001 7.34e-002h  1
  18 1.4955440e+004 1.78e+003 7.40e+008   3.7 8.68e+001    -  6.95e-002 7.16e-002h  1
  19 1.4968006e+004 1.74e+003 7.38e+008   3.7 6.60e+001    -  8.25e-002 2.52e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 1.5243726e+004 1.59e+003 8.45e+008  -2.5 6.86e+001    -  2.86e-002 8.29e-002h  1
  21 1.5307580e+004 1.50e+003 9.16e+008   3.6 9.66e+001    -  1.42e-001 5.51e-002h  1
  22 1.5461226e+004 1.43e+003 9.81e+008  -2.5 1.03e+002    -  4.51e-002 4.41e-002h  1
  23 1.5584987e+004 1.25e+003 1.19e+009   3.3 8.18e+001    -  7.43e-002 1.30e-001h  1
  24 1.5629285e+004 1.17e+003 1.28e+009   3.1 8.71e+001    -  4.28e-002 6.00e-002h  1
  25 1.5638705e+004 1.16e+003 1.30e+009   2.3 8.92e+001    -  9.54e-002 1.11e-002h  1
  26 1.5434244e+004 1.12e+003 1.34e+009   3.7 1.25e+002    -  7.20e-002 2.96e-002f  1
  27 1.5540173e+004 9.87e+002 1.63e+009   2.0 1.06e+002    -  4.89e-002 1.17e-001h  1
  28 1.5612613e+004 9.16e+002 1.74e+009  -2.6 1.56e+002    -  9.54e-002 6.88e-002h  1
  29 1.5160279e+004 8.67e+002 1.80e+009   3.7 1.67e+002    -  1.00e-001 5.01e-002f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30 1.5194597e+004 8.02e+002 1.88e+009   2.8 9.14e+001    -  5.13e-002 7.01e-002h  1
  31 1.4883642e+004 7.26e+002 1.96e+009   3.6 1.02e+002    -  4.22e-002 8.38e-002f  1
  32 1.4579153e+004 6.53e+002 2.09e+009   3.7 9.78e+001    -  3.74e-002 8.47e-002f  1
  33 1.4709994e+004 6.20e+002 2.06e+009  -2.6 9.53e+001    -  8.79e-002 4.76e-002h  1
  34 1.4820149e+004 5.83e+002 2.00e+009   2.6 1.03e+002    -  1.58e-001 5.51e-002h  1
  35 1.4903895e+004 5.60e+002 1.96e+009   1.9 1.67e+002    -  4.53e-002 3.76e-002h  1
  36 1.4837752e+004 5.39e+002 1.95e+009   3.7 1.89e+002    -  7.60e-002 3.39e-002f  1
  37 1.4807229e+004 4.84e+002 1.88e+009   3.7 2.10e+002    -  8.03e-002 8.51e-002f  1
  38 1.4866068e+004 4.76e+002 1.86e+009  -2.6 1.04e+002    -  7.03e-002 1.47e-002h  1
  39 1.5153747e+004 3.28e+002 2.12e+009   3.6 1.60e+002    -  3.53e-002 1.94e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 1.4883647e+004 3.13e+002 2.16e+009   3.7 1.05e+002    -  5.37e-002 3.87e-002f  1
  41 1.4689163e+004 2.80e+002 2.38e+009   3.6 9.90e+001    -  8.34e-002 9.64e-002f  1
  42 1.4574940e+004 2.27e+002 2.80e+009   3.2 7.34e+001    -  9.91e-002 1.82e-001h  1
  43 1.4119000e+004 2.04e+002 3.01e+009   3.7 9.76e+001    -  5.55e-002 8.07e-002f  1
  44 1.4034352e+004 1.89e+002 3.13e+009   2.5 6.38e+001    -  7.42e-002 7.49e-002h  1
  45 1.3515366e+004 1.56e+002 3.26e+009   3.1 6.23e+001    -  9.87e-002 1.65e-001f  1
  46 1.3318568e+004 1.37e+002 3.37e+009   1.5 1.20e+002    -  3.93e-002 1.17e-001f  1
  47 1.3180583e+004 1.34e+002 3.41e+009   3.3 8.38e+001    -  9.29e-002 2.13e-002f  1
  48 1.2272061e+004 1.97e+002 3.00e+009   3.2 1.10e+002    -  6.87e-002 2.42e-001f  1
  49 1.1384637e+004 2.88e+002 2.67e+009   3.5 7.41e+001    -  7.59e-002 1.67e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 1.1380691e+004 2.86e+002 2.66e+009   2.4 8.07e+001    -  3.61e-002 6.32e-003h  1
  51 1.0841866e+004 3.19e+002 2.29e+009   3.6 1.11e+002    -  8.73e-002 1.29e-001f  1
  52 1.0864721e+004 2.90e+002 2.14e+009  -2.6 3.75e+001    -  6.81e-002 8.80e-002h  1
  53 1.0863157e+004 2.05e+002 1.14e+009   3.2 2.94e+001    -  1.78e-001 4.47e-001f  1
  54 1.0868870e+004 1.95e+002 1.09e+009  -2.7 1.04e+001    -  1.84e-001 4.46e-002h  1
  55 1.1028821e+004 5.29e+001 1.58e+008   1.6 9.48e+000    -  3.10e-001 8.48e-001h  1
  56 1.0883459e+004 9.25e+000 1.68e+006   2.0 3.53e+000    -  6.82e-001 1.00e+000f  1
  57 1.0913693e+004 3.62e-001 4.92e+005  -3.3 1.87e+000    -  6.36e-001 1.00e+000h  1
  58 1.0908229e+004 9.17e-003 1.12e+004  -3.8 2.47e-001    -  9.31e-001 1.00e+000h  1
  59 1.0894507e+004 1.65e-004 4.48e+002  -4.9 1.63e-001    -  9.72e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 1.0174622e+004 1.53e+000 1.22e+002  -1.8 3.35e+000    -  7.58e-001 1.00e+000f  1
  61 9.4878119e+003 1.93e+000 8.43e+001  -2.2 4.44e+000    -  8.13e-001 1.00e+000f  1
  62 8.5408747e+003 7.91e+001 1.93e+002  -2.1 2.72e+001    -  4.99e-001 9.78e-001f  1
  63 8.2314820e+003 7.88e+001 1.78e+002  -1.8 1.89e+001    -  6.91e-001 6.60e-001f  1
  64 7.9860955e+003 9.53e+000 1.25e+002  -2.2 8.62e+000    -  6.90e-001 1.00e+000f  1
  65 6.9173202e+003 4.86e-001 5.03e+001  -2.2 4.96e+000    -  1.00e+000 1.00e+000f  1
  66 6.6431645e+003 1.26e+000 1.14e+001  -2.4 1.99e+000    -  1.00e+000 1.00e+000f  1
